symbol,marketcap,sector,day_open,day_high,high_from_open_pct,high_time,day_close,close_from_open_pct,day_volume,audit_stage,failure_reason,first_scanner_time,first_1m_time,first_3m_time,first_5m_time,scan_1m_count,scan_3m_count,scan_5m_count,first_master_time,master_seen_count,first_final_buy_time,queue_count,first_queue_time,expired_count,entry_count,first_entry_time,first_exit_time,trade_count,live_pnl_rs,entry_prices,exit_reasons,triggers
RANEHOLDIN,Smallcap,Financials,1100.7,1321.0,20.01,14:48:00,1217.0,10.57,375015,FINAL_BUY_SKIPPED,NOT_IN_MASTER x18,09:20:06,11:20:07,11:20:07,09:20:06,3,7,62,11:31:07,24,11:29:07,0,,0,0,,,0,0,,,
JINDRILL,Smallcap,Energy,589.95,686.15,16.31,14:24:00,628.9,6.6,35117860,TRADED,,09:19:05,09:22:05,09:19:05,09:19:05,1,22,47,09:25:09,100,09:19:05,1,10:08:09,0,1,10:08:10,10:53:11,1,2778.23,611.9,TIME_EXIT,BREAKOUT
SAIL,Largecap,Metals & Mining,176.31,202.35,14.77,15:12:00,201.2,14.12,173098376,TRADED,,09:16:09,09:16:09,09:16:09,09:16:10,6,10,41,09:21:08,43,09:54:08,1,09:54:08,0,1,09:54:11,10:39:11,1,1422.08,184.94,TIME_EXIT,BREAKOUT
MOLDTKPAC,Smallcap,Industrials,589.95,674.0,14.25,15:09:00,665.3,12.77,1589908,FINAL_BUY_SKIPPED,NOT_IN_MASTER x26,09:25:07,10:01:07,09:27:07,09:25:07,2,5,53,,0,10:02:08,0,,0,0,,,0,0,,,
POCL,Smallcap,Metals & Mining,1300.5,1474.4,13.37,15:02:00,1465.0,12.65,970617,FINAL_BUY_SKIPPED,NOT_IN_MASTER x22,09:17:06,09:17:06,09:17:06,09:17:06,2,4,50,,0,13:14:07,0,,0,0,,,0,0,,,
MTARTECH,Midcap,Aerospace & Defence,6200.0,6969.0,12.4,12:00:00,6800.0,9.68,4498368,TRADED,,09:21:06,09:21:06,09:21:06,09:22:05,8,13,40,11:09:07,52,09:28:08,3,11:09:08,2,1,11:09:21,11:20:21,1,1229.95,6423.0,TSL_HIT,BREAKOUT
VERANDA,Smallcap,Services,220.1,245.0,11.31,15:22:00,241.33,9.65,6521902,FINAL_BUY_SKIPPED,NOT_IN_MASTER x5,09:21:06,09:23:06,09:21:06,09:23:06,11,15,21,09:43:09,8,11:40:09,0,,0,0,,,0,0,,,
THOMASCOOK,Smallcap,Miscellaneous,89.0,98.9,11.12,09:33:00,95.0,6.74,4081015,WARMUP_ONLY,Final-buy signal came before 09:40 warmup cutoff.,09:19:05,,09:21:06,09:19:05,0,1,31,,0,09:32:07,0,,0,0,,,0,0,,,
CLEANMAX,Midcap,Power & Utilities,1205.0,1334.4,10.74,14:46:00,1314.5,9.09,1147487,FINAL_BUY_SKIPPED,NOT_IN_MASTER x8,09:19:05,09:20:06,09:20:06,09:19:05,3,7,29,,0,11:42:07,0,,0,0,,,0,0,,,
ESAFSFB,Smallcap,Bank,28.46,31.45,10.51,10:52:00,30.65,7.7,2425362,FINAL_BUY_SKIPPED,NOT_IN_MASTER x11,09:19:05,09:55:07,09:27:07,09:19:05,1,4,39,,0,09:59:08,0,,0,0,,,0,0,,,
PREMEXPLN,Smallcap,Aerospace & Defence,498.0,549.95,10.43,13:07:00,545.0,9.44,917378,FINAL_BUY_SKIPPED,NOT_IN_MASTER x24,09:16:10,10:18:07,10:18:07,09:16:10,2,2,52,,0,10:18:08,0,,0,0,,,0,0,,,
TALBROAUTO,Smallcap,Auto,310.0,341.35,10.11,13:20:00,334.9,8.03,418855,FINAL_BUY_SKIPPED,NOT_IN_MASTER x6,09:17:06,10:13:07,09:17:06,09:17:06,1,3,24,,0,09:20:09,0,,0,0,,,0,0,,,
