trades,pnl_rs,wins,losses,runner_trades,runner_pnl_rs,non_runner_pnl_rs,variant,day,rejects
1,543.48,1,0,0,0.0,543.48,baseline,2026-04-17,33
10,558.05,6,4,1,-650.32,1208.37,baseline,2026-04-20,46
51,6945.94,24,27,3,1789.7,5156.24,baseline,2026-04-21,328
58,14381.02,33,23,12,7106.07,7274.95,baseline,2026-04-22,511
52,5493.11,26,26,5,2918.76,2574.35,baseline,2026-04-23,397
51,10758.73,31,20,2,1121.88,9636.85,baseline,2026-04-24,209
56,6960.66,29,27,6,2887.82,4072.84,baseline,2026-04-27,609
64,10343.0,35,29,10,8811.02,1531.98,baseline,2026-04-28,446
57,5685.66,28,29,10,5121.74,563.92,baseline,2026-04-29,450
53,12878.46,31,22,3,7474.63,5403.83,baseline,2026-04-30,445
59,15953.34,37,22,19,11853.07,4100.27,baseline,2026-05-04,745
56,8348.79,29,27,8,6259.78,2089.01,baseline,2026-05-05,586
58,18154.94,36,22,14,10516.13,7638.81,baseline,2026-05-06,1036
58,25433.57,39,19,10,14523.02,10910.55,baseline,2026-05-07,995
44,5748.5,27,17,9,2775.84,2972.66,baseline,2026-05-08,698
0,0.0,0,0,0,0.0,0.0,baseline,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,baseline,2026-05-12,302
64,10772.4,35,29,10,10630.78,141.62,baseline,2026-05-13,375
5,1107.45,4,1,1,244.96,862.49,override_only,2026-04-17,27
19,-2163.0,8,11,3,-881.27,-1281.73,override_only,2026-04-20,35
63,8032.03,32,29,11,3403.61,4628.42,override_only,2026-04-21,255
73,13223.21,44,29,23,10865.51,2357.7,override_only,2026-04-22,411
72,10268.46,39,33,21,5961.14,4307.32,override_only,2026-04-23,285
62,13319.19,36,26,7,4544.49,8774.7,override_only,2026-04-24,171
73,-44.13,35,38,14,3720.34,-3764.47,override_only,2026-04-27,463
78,10027.47,42,36,22,9990.15,37.32,override_only,2026-04-28,340
67,16719.27,41,26,16,11266.3,5452.97,override_only,2026-04-29,401
59,17697.69,36,23,8,8930.57,8767.12,override_only,2026-04-30,416
